series,n,mean,median,stdev,ci95_mean_low,ci95_mean_high
config_a_prepare_download_us,200,495250.585,495191.5,2386.9415477840444,494919.7717792722,495581.39822072786
config_c_prepare_download_us,200,495218.465,495002.5,3937.4143428538937,494672.7672130941,495764.16278690594
config_a_fullsession_wall_ms,200,11262.3684,11263.864,23.169879487110794,11259.157218534696,11265.579581465303
config_c_fullsession_wall_ms,200,12003.670295,12005.2255,25.480590460565658,12000.138865332552,12007.201724667448
