iteration,prepare_download_us
1,495557
2,493423
3,492981
4,497747
5,493431
6,456316
7,495881
8,494011
9,498567
10,494770
11,491827
12,492392
13,495613
14,494030
15,493025
16,494625
17,492839
18,496173
19,493174
20,491875
21,495389
22,494662
23,494191
24,495357
25,493590
26,492603
27,492322
28,492648
29,495557
30,491922
31,493524
32,494876
33,493858
34,491660
35,492673
36,492668
